service,category,ports,iana_descriptions,nmap_descriptions,iana_references,rationale,additional_source,evidence_basis,cisco_category,cisco_subcategory,cisco_source
1ci-smcs,management,3091/tcp; 3091/udp,1Ci Server Management,1Ci Server Management,,Documented purpose: Management,,registry description / named protocol interpretation,,,
2ping,management,15998/tcp; 15998/udp,2ping Bi-Directional Ping Service,2ping Bi-Directional Ping Service,,Documented purpose: Ping,,registry description / named protocol interpretation,,,
3Com-nsd,other,1742/tcp; 1742/udp,3Com-nsd,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3com-amp3,other,629/tcp; 629/udp,3Com AMP3,3Com AMP3,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3com-net-mgmt,management,2391/tcp; 2391/udp,3COM Net Management,3COM Net Management,,Documented purpose: Management,,registry description / named protocol interpretation,,,
3com-njack-1,other,5264/tcp; 5264/udp,3Com Network Jack Port 1,3Com Network Jack Port 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3com-njack-2,other,5265/tcp; 5265/udp,3Com Network Jack Port 2,3Com Network Jack Port 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3com-tsmux,other,106/udp,3COM-TSMUX,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3com-webview,other,2339/tcp; 2339/udp,3Com WebView,3Com WebView,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3comfaxrpc,printing,3446/tcp; 3446/udp,3Com FAX RPC port,3Com FAX RPC port,,Documented purpose: FAX,,registry description / named protocol interpretation,,,
3comnetman,management,1181/tcp; 1181/udp,3Com Net Management,3Com Net Management,,Documented purpose: Management,,registry description / named protocol interpretation,,,
3d-nfsd,files,2323/tcp; 2323/udp,3d-nfsd,,,Documented purpose: 3d-nfsd,,registry description / named protocol interpretation,,,
3ds-lm,other,1538/tcp; 1538/udp,3ds-lm,,,"The source only repeats an abbreviated name. Software licensing is plausible, but not established by this evidence.",,fallback; see rationale,,,
3exmp,management,5221/tcp,3eTI Extensible Management Protocol for OAMP,3eTI Extensible Management Protocol for OAMP,,Documented purpose: Management,,registry description / named protocol interpretation,,,
3gpp-cbsp,network,48049/tcp,3GPP Cell Broadcast Service Protocol,3GPP Cell Broadcast Service Protocol,,"Network signaling, routing, redundancy, or forwarding support.",,registry description / named protocol interpretation,,,
3gpp-monp,media,8809/tcp,MCPTT Off-Network Protocol (MONP),MCPTT Off-Network Protocol (MONP),[3GPP TS 24.379 v13.5.0s],"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
3gpp-w1ap,network,37472/tcp,W1 signalling transport,W1 signalling transport,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
3l-l1,other,1511/tcp; 1511/udp,3l-l1,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3link,other,15363/tcp; 15363/udp,3Link Negotiation,3Link Negotiation,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
3m-image-lm,licensing,1550/tcp; 1550/udp,Image Storage license manager 3M Company,Image Storage license manager 3M Company,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
3par-evts,management,5781/tcp; 5781/udp,3PAR Event Reporting Service,3PAR Event Reporting Service,,Documented purpose: Event Reporting,,registry description / named protocol interpretation,,,
3par-mgmt,management,5782/tcp; 5782/udp,3PAR Management Service,3PAR Management Service,,Documented purpose: Management,,registry description / named protocol interpretation,,,
3par-mgmt-ssl,management,5783/tcp; 5783/udp,3PAR Management Service with SSL,3PAR Management Service with SSL,,Documented purpose: Management,,registry description / named protocol interpretation,,,
3par-rcopy,storage,5785/tcp; 5785/udp,3PAR Inform Remote Copy,3PAR Inform Remote Copy,,"Block/storage infrastructure, storage replication, tape access, or storage data movement.",,registry description / named protocol interpretation,,,
4-tieropmcli,other,2934/tcp; 2934/udp,4-TIER OPM CLI,4-TIER OPM CLI,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
4-tieropmgw,other,2933/tcp; 2933/udp,4-TIER OPM GW,4-TIER OPM GW,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
4talk,other,3284/tcp; 3284/udp,4Talk,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
5afe-dir,discovery,23294/tcp,5AFE SDN Directory,5afe-disc | 5AFE SDN Directory | 5AFE SDN Directory discovery,,"Named directory, service location, name binding, endpoint mapping, or discovery service.",,registry description / named protocol interpretation,,,
802-11-iapp,network,3517/tcp; 3517/udp,IEEE 802.11 WLANs WG IAPP,IEEE 802.11 WLANs WG IAPP,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
914c-g,remote,211/tcp; 211/udp,"Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g"".",914c/g | Texas Instruments 914C/G Terminal | Texas Instruments 914C/G Terminal,,"Remote execution, interactive terminal, desktop/display access, or associated control channel.",,registry description / named protocol interpretation,,,
9pfs,files,564/tcp; 564/udp,plan 9 file service,plan 9 file service,,"File/photo/object transfer, synchronization, network filesystem access, or file-sharing support.",,registry description / named protocol interpretation,,,
BESApi,other,3408/tcp; 3408/udp,BES Api Port,BES Api Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
BackOrifice,remote,31337/udp,,cDc Back Orifice remote admin tool,,"Named remote-control tool. Classification describes function, not whether captured traffic is benign or malicious.",,registry description / named protocol interpretation,,,
CarbonCopy,other,1680/tcp,,microcom-sbp,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
CardWeb-IO,other,9060/tcp,CardWeb request-response I/O exchange,CardWeb-RT | CardWeb request-response I/O exchange | CardWeb realtime device data,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
CodeMeter,licensing,22350/tcp; 22350/udp,CodeMeter Standard,CodeMeter Standard,,CodeMeter software licensing.,https://cdn.wibu.com/fileadmin/wibu_downloads/KEYnote_Magazine/KEYnote_23/WibuSystems-KEYnote-23_en.pdf,additional primary documentation,,,
DMExpress,other,32636/tcp; 32636/udp,DMExpress,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
DragonIDSConsole,security,9111/tcp,,"hexxorecore | Dragon IDS Console | Multiple Purpose, Distributed Message Bus",,"Security inspection, threat detection/prevention, vulnerability assessment, security policy, or security product operations.",,registry description / named protocol interpretation,,,
